lineage,parent,children
A,,A
A.1,A,A.1
A,,A.1
A.2,A,A.2
A,,A.2
A.2.2,A.2,A.2.2
A.2,A,A.2.2
A,,A.2.2
A.2.3,A.2,A.2.3
A.2,A,A.2.3
A,,A.2.3
A.2.4,A.2,A.2.4
A.2,A,A.2.4
A,,A.2.4
A.2.5,A.2,A.2.5
A.2,A,A.2.5
A,,A.2.5
A.2.5.1,A.2.5,A.2.5.1
A.2.5,A.2,A.2.5.1
A.2,A,A.2.5.1
A,,A.2.5.1
A.2.5.2,A.2.5,A.2.5.2
A.2.5,A.2,A.2.5.2
A.2,A,A.2.5.2
A,,A.2.5.2
A.2.5.3,A.2.5,A.2.5.3
A.2.5,A.2,A.2.5.3
A.2,A,A.2.5.3
A,,A.2.5.3
A.3,A,A.3
A,,A.3
A.4,A,A.4
A,,A.4
A.5,A,A.5
A,,A.5
A.6,A,A.6
A,,A.6
A.7,A,A.7
A,,A.7
A.9,A,A.9
A,,A.9
A.11,A,A.11
A,,A.11
A.12,A,A.12
A,,A.12
A.15,A,A.15
A,,A.15
A.16,A,A.16
A,,A.16
A.17,A,A.17
A,,A.17
A.18,A,A.18
A,,A.18
A.19,A,A.19
A,,A.19
A.21,A,A.21
A,,A.21
A.22,A,A.22
A,,A.22
A.23,A,A.23
A,,A.23
A.23.1,A.23,A.23.1
A.23,A,A.23.1
A,,A.23.1
A.24,A,A.24
A,,A.24
A.25,A,A.25
A,,A.25
A.26,A,A.26
A,,A.26
A.27,A,A.27
A,,A.27
A.28,A,A.28
A,,A.28
A.29,A,A.29
A,,A.29
A.30,A,A.30
A,,A.30
B,,B
B.1,B,B.1
B,,B.1
B.1.1,B.1,B.1.1
B.1,B,B.1.1
B,,B.1.1
B.1.1.1,B.1.1,B.1.1.1
B.1.1,B.1,B.1.1.1
B.1,B,B.1.1.1
B,,B.1.1.1
C.1,B.1.1.1,C.1
B.1.1.1,B.1.1,C.1
B.1.1,B.1,C.1
B.1,B,C.1
B,,C.1
C.1.1,C.1,C.1.1
C.1,B.1.1.1,C.1.1
B.1.1.1,B.1.1,C.1.1
B.1.1,B.1,C.1.1
B.1,B,C.1.1
B,,C.1.1
C.1.2,C.1,C.1.2
C.1,B.1.1.1,C.1.2
B.1.1.1,B.1.1,C.1.2
B.1.1,B.1,C.1.2
B.1,B,C.1.2
B,,C.1.2
C.2,B.1.1.1,C.2
B.1.1.1,B.1.1,C.2
B.1.1,B.1,C.2
B.1,B,C.2
B,,C.2
C.2.1,C.2,C.2.1
C.2,B.1.1.1,C.2.1
B.1.1.1,B.1.1,C.2.1
B.1.1,B.1,C.2.1
B.1,B,C.2.1
B,,C.2.1
C.3,B.1.1.1,C.3
B.1.1.1,B.1.1,C.3
B.1.1,B.1,C.3
B.1,B,C.3
B,,C.3
C.4,B.1.1.1,C.4
B.1.1.1,B.1.1,C.4
B.1.1,B.1,C.4
B.1,B,C.4
B,,C.4
C.5,B.1.1.1,C.5
B.1.1.1,B.1.1,C.5
B.1.1,B.1,C.5
B.1,B,C.5
B,,C.5
C.6,B.1.1.1,C.6
B.1.1.1,B.1.1,C.6
B.1.1,B.1,C.6
B.1,B,C.6
B,,C.6
C.7,B.1.1.1,C.7
B.1.1.1,B.1.1,C.7
B.1.1,B.1,C.7
B.1,B,C.7
B,,C.7
C.8,B.1.1.1,C.8
B.1.1.1,B.1.1,C.8
B.1.1,B.1,C.8
B.1,B,C.8
B,,C.8
C.9,B.1.1.1,C.9
B.1.1.1,B.1.1,C.9
B.1.1,B.1,C.9
B.1,B,C.9
B,,C.9
C.10,B.1.1.1,C.10
B.1.1.1,B.1.1,C.10
B.1.1,B.1,C.10
B.1,B,C.10
B,,C.10
C.11,B.1.1.1,C.11
B.1.1.1,B.1.1,C.11
B.1.1,B.1,C.11
B.1,B,C.11
B,,C.11
C.12,B.1.1.1,C.12
B.1.1.1,B.1.1,C.12
B.1.1,B.1,C.12
B.1,B,C.12
B,,C.12
C.13,B.1.1.1,C.13
B.1.1.1,B.1.1,C.13
B.1.1,B.1,C.13
B.1,B,C.13
B,,C.13
C.14,B.1.1.1,C.14
B.1.1.1,B.1.1,C.14
B.1.1,B.1,C.14
B.1,B,C.14
B,,C.14
C.16,B.1.1.1,C.16
B.1.1.1,B.1.1,C.16
B.1.1,B.1,C.16
B.1,B,C.16
B,,C.16
C.17,B.1.1.1,C.17
B.1.1.1,B.1.1,C.17
B.1.1,B.1,C.17
B.1,B,C.17
B,,C.17
C.18,B.1.1.1,C.18
B.1.1.1,B.1.1,C.18
B.1.1,B.1,C.18
B.1,B,C.18
B,,C.18
C.19,B.1.1.1,C.19
B.1.1.1,B.1.1,C.19
B.1.1,B.1,C.19
B.1,B,C.19
B,,C.19
C.20,B.1.1.1,C.20
B.1.1.1,B.1.1,C.20
B.1.1,B.1,C.20
B.1,B,C.20
B,,C.20
C.21,B.1.1.1,C.21
B.1.1.1,B.1.1,C.21
B.1.1,B.1,C.21
B.1,B,C.21
B,,C.21
C.22,B.1.1.1,C.22
B.1.1.1,B.1.1,C.22
B.1.1,B.1,C.22
B.1,B,C.22
B,,C.22
C.23,B.1.1.1,C.23
B.1.1.1,B.1.1,C.23
B.1.1,B.1,C.23
B.1,B,C.23
B,,C.23
C.25,B.1.1.1,C.25
B.1.1.1,B.1.1,C.25
B.1.1,B.1,C.25
B.1,B,C.25
B,,C.25
C.26,B.1.1.1,C.26
B.1.1.1,B.1.1,C.26
B.1.1,B.1,C.26
B.1,B,C.26
B,,C.26
C.27,B.1.1.1,C.27
B.1.1.1,B.1.1,C.27
B.1.1,B.1,C.27
B.1,B,C.27
B,,C.27
C.28,B.1.1.1,C.28
B.1.1.1,B.1.1,C.28
B.1.1,B.1,C.28
B.1,B,C.28
B,,C.28
C.29,B.1.1.1,C.29
B.1.1.1,B.1.1,C.29
B.1.1,B.1,C.29
B.1,B,C.29
B,,C.29
C.30,B.1.1.1,C.30
B.1.1.1,B.1.1,C.30
B.1.1,B.1,C.30
B.1,B,C.30
B,,C.30
C.30.1,C.30,C.30.1
C.30,B.1.1.1,C.30.1
B.1.1.1,B.1.1,C.30.1
B.1.1,B.1,C.30.1
B.1,B,C.30.1
B,,C.30.1
C.31,B.1.1.1,C.31
B.1.1.1,B.1.1,C.31
B.1.1,B.1,C.31
B.1,B,C.31
B,,C.31
C.32,B.1.1.1,C.32
B.1.1.1,B.1.1,C.32
B.1.1,B.1,C.32
B.1,B,C.32
B,,C.32
C.33,B.1.1.1,C.33
B.1.1.1,B.1.1,C.33
B.1.1,B.1,C.33
B.1,B,C.33
B,,C.33
C.34,B.1.1.1,C.34
B.1.1.1,B.1.1,C.34
B.1.1,B.1,C.34
B.1,B,C.34
B,,C.34
C.35,B.1.1.1,C.35
B.1.1.1,B.1.1,C.35
B.1.1,B.1,C.35
B.1,B,C.35
B,,C.35
C.36,B.1.1.1,C.36
B.1.1.1,B.1.1,C.36
B.1.1,B.1,C.36
B.1,B,C.36
B,,C.36
C.36.1,C.36,C.36.1
C.36,B.1.1.1,C.36.1
B.1.1.1,B.1.1,C.36.1
B.1.1,B.1,C.36.1
B.1,B,C.36.1
B,,C.36.1
C.36.2,C.36,C.36.2
C.36,B.1.1.1,C.36.2
B.1.1.1,B.1.1,C.36.2
B.1.1,B.1,C.36.2
B.1,B,C.36.2
B,,C.36.2
C.36.3,C.36,C.36.3
C.36,B.1.1.1,C.36.3
B.1.1.1,B.1.1,C.36.3
B.1.1,B.1,C.36.3
B.1,B,C.36.3
B,,C.36.3
C.36.3.1,C.36.3,C.36.3.1
C.36.3,C.36,C.36.3.1
C.36,B.1.1.1,C.36.3.1
B.1.1.1,B.1.1,C.36.3.1
B.1.1,B.1,C.36.3.1
B.1,B,C.36.3.1
B,,C.36.3.1
C.37,B.1.1.1,C.37
B.1.1.1,B.1.1,C.37
B.1.1,B.1,C.37
B.1,B,C.37
B,,C.37
C.37.1,C.37,C.37.1
C.37,B.1.1.1,C.37.1
B.1.1.1,B.1.1,C.37.1
B.1.1,B.1,C.37.1
B.1,B,C.37.1
B,,C.37.1
C.38,B.1.1.1,C.38
B.1.1.1,B.1.1,C.38
B.1.1,B.1,C.38
B.1,B,C.38
B,,C.38
C.39,B.1.1.1,C.39
B.1.1.1,B.1.1,C.39
